"";"genome_id"
"6989";"28901.1242"
"7015";"28901.1244"
"7041";"28901.1104"
"7067";"28901.1243"
"7089";"28901.1245"
"7115";"28901.1249"
"7141";"28901.1247"
"7167";"28901.1246"
"7189";"28901.1248"
"7215";"28901.1252"
"7241";"28901.1250"
"7267";"28901.1251"
"7293";"28901.1256"
"7319";"28901.1254"
"7345";"28901.1255"
"7371";"28901.1253"
"7397";"28901.1257"
"7423";"28901.1258"
"7449";"28901.1261"
"7476";"28901.1260"
"7503";"28901.1264"
"7529";"28901.1259"
"7556";"28901.1265"
"7582";"28901.1263"
"7608";"28901.1262"
"7634";"28901.1268"
"7660";"28901.1270"
"7686";"28901.1267"
"7712";"28901.1271"
"7738";"28901.1266"
"7764";"28901.1272"
"7790";"28901.1269"
"7816";"28901.1275"
"7842";"28901.1274"
"7868";"28901.1273"
"7894";"28901.1277"
"7920";"28901.1276"
"7946";"28901.1279"
"7972";"28901.1280"
"7998";"28901.1286"
"8024";"28901.1278"
"8050";"28901.1281"
"8076";"28901.1285"
"8102";"28901.1288"
"8128";"28901.1282"
"8154";"28901.1283"
"8180";"28901.1290"
"8206";"28901.1291"
"8232";"28901.1284"
"8258";"28901.1289"
"8284";"28901.1287"
"8310";"28901.1296"
"8336";"28901.1292"
"8362";"28901.1293"
"8388";"28901.1294"
"8414";"28901.1295"
"8440";"28901.1297"
"8466";"28901.1299"
"8492";"28901.1298"
"8518";"28901.1303"
"8544";"28901.1308"
"8566";"28901.1302"
"8592";"28901.1300"
"8618";"28901.1304"
"8644";"28901.1307"
"8670";"28901.1306"
"8692";"28901.1305"
"8718";"28901.1301"
"8740";"28901.1310"
"8766";"28901.1312"
"8792";"28901.1316"
"8818";"28901.1309"
"8844";"28901.1314"
"8870";"28901.1315"
"8896";"28901.1313"
"8922";"28901.1311"
"8948";"28901.1317"
"8974";"28901.1318"
"9000";"28901.602"
"9028";"28901.607"
"9063";"28901.606"
"9080";"28901.609"
"9112";"28901.604"
"9122";"28901.603"
"9141";"28901.610"
"9179";"28901.605"
"9192";"28901.864"
"9222";"28901.608"
"9260";"290336.4"
"9275";"28901.909"
"9314";"291644.4"
"9315";"292.102"
"9316";"292.103"
"9317";"292.100"
"9318";"292.105"
"9319";"292.104"
"9320";"292.101"
"9321";"292.26"
"9325";"292.31"
"9326";"292.25"
"9327";"292.29"
"9328";"292.30"
"9329";"292.28"
"9330";"292.33"
"9331";"292.35"
"9332";"292.36"
"9333";"292.34"
"9334";"292.38"
"9335";"292.32"
"9336";"292.41"
"9337";"292.43"
"9338";"292.40"
"9339";"292.37"
"9340";"292.39"
"9341";"292.44"
"9342";"292.42"
"9343";"292.45"
"9344";"292.48"
"9345";"292.46"
"9346";"292.47"
"9347";"292.51"
"9348";"292.54"
"9349";"292.53"
"9350";"292.50"
"9351";"292.52"
"9352";"292.56"
"9353";"292.49"
"9354";"292.57"
"9355";"292.55"
"9356";"292.61"
"9357";"292.59"
"9358";"292.58"
"9359";"292.67"
"9360";"292.65"
"9361";"292.63"
"9362";"292.62"
"9363";"292.69"
"9364";"292.72"
"9365";"292.73"
"9366";"292.60"
"9367";"292.64"
"9368";"292.74"
"9369";"292.75"
"9370";"292.66"
"9371";"292.77"
"9372";"292.68"
"9373";"292.71"
"9374";"292.76"
"9375";"292800.3"
"9376";"292.78"
"9377";"292800.6"
"9378";"292800.4"
"9379";"292.79"
"9380";"292800.5"
"9382";"292.81"
"9383";"292.83"
"9384";"292.85"
"9385";"292.89"
"9386";"292.82"
"9387";"292.80"
"9388";"292.94"
"9389";"292.88"
"9390";"292.93"
"9391";"292.86"
"9392";"292.91"
"9393";"292.84"
"9394";"292.90"
"9395";"292.87"
"9396";"292.96"
"9397";"292.92"
"9398";"292.95"
"9399";"292.99"
"9400";"29382.4"
"9405";"292.98"
"9406";"29385.107"
"9407";"29339.37"
"9409";"29385.55"
"9410";"29385.108"
"9411";"292.97"
"9412";"29388.39"
"9416";"29388.40"
"9421";"29388.38"
"9426";"29388.41"
"9431";"29388.43"
"9436";"29388.46"
"9437";"29388.47"
"9442";"29388.48"
"9448";"29388.45"
"9453";"29459.151"
"9454";"29459.152"
"9455";"29459.153"
"9456";"294.194"
"9458";"29459.157"
"9459";"29459.154"
"9460";"29459.43"
"9461";"29483.4"
"9465";"29483.6"
"9469";"29483.5"
"9473";"29484.12"
"9477";"29484.11"
"9485";"29484.10"
"9488";"29484.24"
"9493";"29484.22"
"9498";"29484.21"
"9502";"29484.23"
"9506";"29484.14"
"9511";"29485.3"
"9515";"29486.14"
"9520";"29486.12"
"9525";"29484.8"
"9529";"29484.7"
"9537";"29486.52"
"9542";"29488.8"
"9544";"29491.11"
"9546";"29491.12"
"9552";"29495.13"
"9553";"29491.13"
"9561";"29497.13"
"9563";"29495.16"
"9564";"29495.15"
"9565";"295068.6"
"9566";"29497.17"
"9568";"29497.16"
"9570";"29497.14"
"9572";"29497.12"
"9574";"299766.24"
"9592";"299766.30"
"9610";"299766.25"
"9628";"299766.33"
"9646";"299766.26"
"9662";"299766.27"
"9677";"299766.28"
"9695";"299766.31"
"9712";"299766.32"
"9730";"299767.11"
"9749";"300.11"
"9753";"299766.29"
"9770";"299766.34"
"9788";"299766.36"
"9813";"299766.37"
"9831";"299766.35"
"9850";"300.12"
"9883";"300.13"
"9905";"302406.17"
"9906";"301102.34"
"9923";"301102.33"
"9942";"303.188"
"9962";"315405.10"
"9965";"315750.8"
"9966";"315730.11"
"9968";"318456.10"
"9969";"318456.9"
"9970";"32019.11"
"9971";"319003.3"
"9972";"322095.3"
"9973";"329.22"
"9975";"326474.3"
"9976";"326475.3"
"9977";"329.24"
"9978";"33029.3"
"9980";"33036.3"
"9981";"33039.10"
"9982";"33038.8"
"9985";"33039.11"
"9986";"329854.7"
"9987";"326476.3"
"9988";"33043.4"
"9989";"33043.5"
"9990";"33039.13"
"9991";"33060.5"
"9997";"33039.12"
"9999";"33060.10"
"10005";"331111.28"
"10037";"336306.15"
"10068";"331272.8"
"10069";"336306.12"
"10091";"336306.16"
"10120";"336306.18"
"10156";"336306.22"
"10195";"336306.21"
"10234";"336306.23"
"10271";"336306.17"
"10310";"33892.18"
"10314";"336306.19"
"10349";"336306.24"
"10371";"337.8"
"10372";"336982.11"
"10375";"33892.19"
"10379";"33892.20"
"10383";"33892.22"
"10387";"33892.21"
"10391";"33892.23"
"10395";"33892.26"
"10399";"33892.24"
"10403";"33892.25"
"10407";"336306.20"
"10478";"33892.27"
"10482";"33892.30"
"10486";"33892.29"
"10490";"33892.31"
"10494";"33894.5"
"10497";"33892.28"
"10501";"33894.6"
"10504";"33964.15"
"10505";"340190.10"
"10533";"34007.4"
"10534";"340190.16"
"10562";"340190.12"
"10590";"340190.15"
"10616";"340190.19"
"10644";"340190.17"
"10673";"340190.14"
"10701";"340190.11"
"10729";"340190.18"
"10754";"340190.20"
"10781";"340190.21"
"10810";"340190.6"
"10838";"340190.13"
"10866";"340190.4"
"10892";"340190.3"
"10920";"340190.5"
"10948";"340190.7"
"10974";"340190.9"
"11000";"34038.5"
"11004";"340190.8"
"11032";"34038.6"
"11036";"34038.7"
"11040";"341036.3"
"11041";"34073.10"
"11042";"345076.21"
"11043";"349966.5"
"11047";"349965.6"
"11052";"349966.8"
"11056";"349967.4"
"11062";"349968.5"
"11067";"351659.3"
"11069";"351675.4"
"11071";"35703.15"
"11089";"35703.24"
"11112";"359391.11"
"11113";"360807.4"
"11114";"360118.7"
"11116";"363569.3"
"11142";"36773.21"
"11143";"36773.23"
"11144";"36773.26"
"11145";"36773.29"
"11146";"36773.24"
"11147";"36773.25"
"11148";"36809.100"
"11149";"36773.30"
"11150";"36809.102"
"11151";"36773.28"
"11152";"36773.32"
"11153";"36809.101"
"11154";"36773.31"
"11155";"36809.106"
"11156";"36773.46"
"11157";"36809.108"
"11158";"36809.109"
"11159";"36809.123"
"11160";"36809.121"
"11161";"36809.133"
"11162";"36809.135"
"11163";"36809.136"
"11164";"36809.138"
"11165";"36809.141"
"11166";"36809.145"
"11167";"36809.151"
"11168";"36809.153"
"11169";"36809.152"
"11170";"36809.155"
"11171";"36809.150"
"11172";"36809.157"
"11173";"36809.163"
"11174";"36809.168"
"11175";"36809.166"
"11176";"36809.165"
"11177";"36809.161"
"11180";"36809.170"
"11181";"36809.172"
"11182";"36809.177"
"11183";"36809.178"
"11192";"36809.180"
"11193";"36809.188"
"11194";"36809.195"
"11195";"36809.200"
"11196";"36809.203"
"11197";"36809.201"
"11198";"36809.211"
"11199";"36809.212"
"11200";"36809.47"
"11201";"36809.45"
"11202";"36809.48"
"11203";"36809.49"
"11204";"36809.53"
"11205";"36809.50"
"11206";"36809.54"
"11207";"36809.60"
"11208";"36809.65"
"11209";"36809.62"
"11210";"36809.63"
"11211";"36809.66"
"11212";"36809.69"
"11213";"36809.74"
"11214";"36809.78"
"11215";"36809.73"
"11216";"36809.83"
"11217";"36809.76"
"11218";"36809.81"
"11219";"36809.82"
"11220";"36809.88"
"11221";"36809.86"
"11222";"36809.85"
"11223";"36809.89"
"11224";"36809.95"
"11225";"36809.91"
"11226";"36809.94"
"11227";"36809.93"
"11228";"36809.96"
"11229";"368603.7"
"11230";"368603.8"
"11231";"368603.9"
"11232";"36809.99"
"11233";"371601.6"
"11234";"379893.5"
"11246";"375.28"
"11247";"375.38"
"11248";"379893.6"
"11260";"379893.8"
"11272";"379893.9"
"11284";"379893.7"
"11296";"38289.11"
"11297";"38289.21"
"11298";"38289.16"
"11299";"38289.12"
"11300";"38289.19"
"11304";"381.59"
"11306";"380021.10"
"11342";"38289.23"
"11349";"38289.17"
"11350";"38289.22"
"11356";"38289.20"
"11357";"38289.24"
"11359";"38289.25"
"11360";"38289.27"
"11361";"38289.26"
"11362";"38289.28"
"11363";"38289.29"
"11364";"38293.23"
"11365";"385682.5"
"11366";"38305.3"
"11367";"38313.20"
"11369";"385966.10"
"11372";"385966.11"
"11376";"385965.3"
"11379";"385966.12"
"11383";"385966.3"
"11387";"385966.8"
"11391";"385957.3"
"11392";"385966.4"
"11395";"385966.7"
"11398";"385967.4"
"11402";"385968.3"
"11406";"385966.5"
"11410";"385967.3"
"11413";"385966.6"
"11416";"385968.4"
"11420";"385966.9"
"11424";"385969.3"
"11428";"385969.4"
"11431";"385969.7"
"11434";"385969.6"
"11438";"385969.5"
"11442";"391008.4"
"11444";"393125.10"
"11447";"393128.7"
"11451";"393126.4"
"11454";"393131.7"
"11458";"39488.3"
"11460";"39490.3"
"11461";"39491.12"
"11462";"39482.3"
"11470";"39488.4"
"11471";"39492.7"
"11472";"395019.8"
"11473";"395095.8"
"11476";"396596.7"
"11477";"396597.7"
"11478";"400946.5"
"11483";"40216.19"
"11484";"40324.100"
"11490";"40324.102"
"11494";"40324.101"
"11497";"40324.104"
"11506";"40324.103"
"11509";"40324.108"
"11517";"40324.109"
"11525";"40324.112"
"11530";"40324.105"
"11533";"40324.107"
"11542";"40324.111"
"11545";"40324.106"
"11553";"40324.110"
"11556";"40324.119"
"11559";"40324.117"
"11562";"40324.118"
"11567";"40324.114"
"11571";"40324.116"
"11576";"40324.115"
"11585";"40324.120"
"11590";"40324.113"
"11592";"40324.123"
"11596";"40324.121"
"11601";"40324.122"
"11604";"40324.124"
"11608";"40324.66"
"11612";"40324.143"
"11616";"40324.168"
"11617";"40324.125"
"11621";"40324.68"
"11625";"40324.67"
"11633";"40324.73"
"11637";"40324.72"
"11643";"40324.69"
"11652";"40324.71"
"11660";"40324.70"
"11661";"40324.75"
"11664";"40324.74"
"11673";"40324.77"
"11678";"40324.76"
"11682";"40324.78"
"11689";"40324.80"
"11693";"40324.79"
"11697";"40324.83"
"11701";"40324.82"
"11704";"40324.86"
"11712";"40324.85"
"11719";"40324.88"
"11723";"40324.84"
"11731";"40324.81"
"11739";"40324.87"
"11743";"40324.91"
